job_title,job_description,skills_extracted,location,experience,role_category,source_dataset
Senior Data Scientist,"IT Skills, Python, Data Science, Machine Learning, Artificial Intelligence, Cloud, Text mining, Cloud computing","IT Skills, Python, Data Science, Machine Learning, Artificial Intelligence, Cloud, Text mining, Cloud computing",Pune,10-12,Data Science,Naukri
Sr Data Scientist,"Computer science, Administration, Logistic regression, SAS, Coding, MIS, Intellectual property, Financial services","Computer science, Administration, Logistic regression, SAS, Coding, MIS, Intellectual property, Financial services",Chennai,5-9,Data Science,Naukri
Data Scientist,"Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining","Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining",Chennai,3-8,Data Science,Naukri
Data Scientist/ Analyst Specialist,"Machine Learning, Python, SQL, R, Logistic Regression, Computer Science, Client Servicing, Data Analysis","Machine Learning, Python, SQL, R, Logistic Regression, Computer Science, Client Servicing, Data Analysis","Noida, New Delhi, Gurgaon/Gurugram, Delhi / NCR, Mumbai (All Areas)",1-4,Data Science,Naukri
Data Scientist (freelance),Data Scientist,Data Scientist,"Bangalore/Bengaluru, Bangalore North",3-8,Data Science,Naukri
Data Scientist,"Java, python, NLP, MySQL, Machine Learning, Deep Learning","Java, python, NLP, MySQL, Machine Learning, Deep Learning",Bangalore/Bengaluru,4-8,Data Science,Naukri
Data Scientist,"Data Science, Pyspark, Algorithms, Machine Learning, Deep Learning","Data Science, Pyspark, Algorithms, Machine Learning, Deep Learning",Bangalore/Bengaluru(Bellandur),2-5,Data Science,Naukri
Rolls-Royce Data Labs : Data Scientist,"Matplotlib, Azure, GIT, Linux, Docker, Pandas, Python","Matplotlib, Azure, GIT, Linux, Docker, Pandas, Python",Bangalore/Bengaluru,3-5,Data Science,Naukri
Data Scientist,"data science, CNN, LSTM, numpy, Machine Learning, Deep Learning, Pytorch, pandas","data science, CNN, LSTM, numpy, Machine Learning, Deep Learning, Pytorch, pandas",Bangalore/Bengaluru,7-10,Data Science,Naukri
Staff Data Scientist,"Product management, Data analysis, Image processing, Machine learning, Agile, Data quality, application architecture, SQL","Product management, Data analysis, Image processing, Machine learning, Agile, Data quality, application architecture, SQL",Bangalore/Bengaluru,4-8,Data Science,Naukri
Data Scientist,"Hadoop, IT Skills, Data Science, Computer science, Operations research, Interpersonal skills, Risk analytics, SCALA","Hadoop, IT Skills, Data Science, Computer science, Operations research, Interpersonal skills, Risk analytics, SCALA",Bangalore/Bengaluru,3-7,Data Science,Naukri
Data Scientist: Artificial Intelligence,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence","Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence",Bangalore/Bengaluru,10-12,Data Science,Naukri
Data Scientist: Artificial Intelligence,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence","Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence",Bangalore/Bengaluru,6-11,Data Science,Naukri
Staff Data Scientist,"IT Skills, Data Science, Machine Learning, Big Data, Text mining, Computer vision, Publishing, Web analytics","IT Skills, Data Science, Machine Learning, Big Data, Text mining, Computer vision, Publishing, Web analytics",Bangalore/Bengaluru,4-8,Data Science,Naukri
Data Scientist,"Health insurance, Data analysis, Statistical modeling, data science, Machine learning, SCALA, Programming, Information retrieval","Health insurance, Data analysis, Statistical modeling, data science, Machine learning, SCALA, Programming, Information retrieval",Bangalore/Bengaluru,1-5,Data Science,Naukri
Data Scientist / Machine learning Engineer- Python/NLP,"machine learning, IT Skills, Data Science, python, nlp","machine learning, IT Skills, Data Science, python, nlp","Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR",2-7,Data Science,Naukri
Senior/ Lead Data Scientist - Market Mix Modelling ( MMM),"Data Scientist, Market Mix Modelling, IT Skills, Python, Data Science, Cloud, AWS, Digital Marketing","Data Scientist, Market Mix Modelling, IT Skills, Python, Data Science, Cloud, AWS, Digital Marketing",Hyderabad/Secunderabad,3-8,Data Science,Naukri
