company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Schlumberger,4.0,671,17,129,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Nlb Services,4.0,670,11,27,"Work Life Balance, Company Culture, Salary & Benefits",
Indusind Marketing & Financial Services,4.0,670,--,23,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Royal Sundaram General Insurance,4.0,669,--,20,"Work Life Balance, Job Security",Promotions / Appraisal
Greaves Cotton,4.0,669,3,21,"Work Life Balance, Company Culture",Promotions / Appraisal
Tata Cummins,4.4,669,--,55,"Company Culture, Skill Development / Learning, Work Life Balance",
Panacea Biotec,3.8,668,14,51,,Promotions / Appraisal
Fareportal,3.4,667,2,26,,"Promotions / Appraisal, Job Security, Company Culture"
NTT,4.0,667,1,53,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
Merino Industries,3.8,667,7,52,,Promotions / Appraisal
Arohan Financial Services,4.0,666,4,23,"Salary & Benefits, Job Security, Company Culture",
Jabil Circuit India,4.0,666,26,40,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
DP World,3.9,666,5,57,"Salary & Benefits, Job Security",Promotions / Appraisal
Citigroup,3.6,664,2,88,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Shilpa Medicare,3.4,664,6,51,,"Job Security, Company Culture, Salary & Benefits"
National Health Mission,3.6,663,--,24,,"Promotions / Appraisal, Salary & Benefits, Job Security"
GE Healthcare,4.1,661,1,71,"Company Culture, Job Security, Work Life Balance",
ACL Digital,3.6,661,15,71,,"Promotions / Appraisal, Skill Development / Learning, Job Security"
Medusind Solutions,3.8,660,8,30,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
Comviva Technology,3.2,660,2,68,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Sanden Vikas,4.0,659,--,40,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal
Parag Milk Foods,4.3,658,7,42,"Work Life Balance, Company Culture, Work Satisfaction",
Future Supply Chain Solutions,4.3,657,--,22,"Company Culture, Work Satisfaction, Skill Development / Learning",
ivy,3.8,657,--,113,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
_VOIS,3.9,655,53,126,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Knight Frank,4.1,654,11,44,"Company Culture, Work Life Balance, Salary & Benefits",
Artech Infosystems,3.6,653,--,62,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Salcomp Manufacturing,4.1,652,--,58,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
NoBrokerHOOD,3.3,652,35,54,,"Job Security, Work Satisfaction, Company Culture"
Samsung E&A,4.2,652,--,57,"Salary & Benefits, Work Life Balance, Company Culture",
Volvo,4.1,651,2,52,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
THE LEELA PALACES HOTELS & RESORTS,4.0,650,--,26,Job Security,
Mswipe Technologies,3.1,650,3,29,,"Promotions / Appraisal, Job Security, Company Culture"
Guardian India,4.0,649,9,50,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Franklin Templeton Investments,4.2,648,42,26,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Embibe,3.6,648,--,59,,"Job Security, Promotions / Appraisal, Company Culture"
TÜV NORD,3.8,647,30,61,,"Promotions / Appraisal, Salary & Benefits"
HP India,4.1,646,--,131,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Tata Starbucks,4.3,645,44,37,"Job Security, Company Culture, Skill Development / Learning",
OCS Group,4.0,644,20,28,Company Culture,
OLX,3.8,643,2,55,Salary & Benefits,"Job Security, Promotions / Appraisal"
Encora,3.8,643,225,81,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
Musashi Auto Parts,3.9,642,--,27,Skill Development / Learning,Promotions / Appraisal
BNP Paribas India Solutions,4.0,641,3,60,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Deepak Fertilisers and Petrochemicals,3.9,640,4,33,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Ageas Federal Life Insurance,3.7,638,33,39,,Promotions / Appraisal
Silaris Informations,3.2,636,4,40,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
MasterCard,4.0,636,230,121,"Work Life Balance, Company Culture, Salary & Benefits",
Simplilearn,3.2,635,25,96,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Border Security Force,4.5,634,--,14,"Job Security, Salary & Benefits, Company Culture",
Bitwise Solutions,4.1,634,2,45,"Company Culture, Work Life Balance, Skill Development / Learning",
mPokket,4.1,633,12,67,"Company Culture, Skill Development / Learning, Job Security",
Fortrea Development India Private Limited,4.0,633,--,68,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
H&M,3.9,633,43,75,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Mahindra Tractors,4.2,632,--,33,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Times Internet,3.6,632,67,57,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Re Sustainability Limited,4.0,632,12,37,"Job Security, Work Life Balance",Promotions / Appraisal
Bpo Convergence,3.5,631,17,50,,"Promotions / Appraisal, Salary & Benefits, Job Security"
NxtWave,4.0,630,300,156,"Skill Development / Learning, Company Culture, Salary & Benefits",
Amphenol Interconnect,4.2,630,4,29,"Work Life Balance, Company Culture, Job Security",
Union Bank of India,4.0,629,--,31,Job Security,
FIITJEE,3.3,629,17,44,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Crompton Greaves Consumer Electricals,3.8,629,1,28,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction"
JSW Group,4.0,629,--,103,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Wonder Cement,4.2,629,10,48,"Salary & Benefits, Skill Development / Learning, Job Security",
KGISL,3.0,628,3,76,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Bill Gosling Outsourcing India,3.6,627,4,34,,"Promotions / Appraisal, Salary & Benefits, Job Security"
GirnarSoft,3.5,626,13,31,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Astral Adhesives,4.0,626,--,33,"Salary & Benefits, Job Security, Skill Development / Learning",
Tata Hitachi Construction Machinery,4.0,626,--,51,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Cogoport,2.8,625,9,50,,"Job Security, Promotions / Appraisal, Company Culture"
ALLEN Career Institute,3.9,625,12,55,"Work Life Balance, Job Security",Promotions / Appraisal
Snapdeal,3.9,624,2,74,"Company Culture, Work Life Balance, Work Satisfaction","Job Security, Promotions / Appraisal"
Eris Lifesciences,3.8,624,10,32,,"Work Satisfaction, Job Security, Skill Development / Learning"
QX Global Group,3.4,624,14,75,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Balkrishna Industries,4.0,624,--,44,"Salary & Benefits, Job Security",
Freshworks,3.6,624,8,149,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Adani Enterprises,3.8,624,7,69,Job Security,"Promotions / Appraisal, Work Life Balance"
Videocon d2h,3.8,623,--,23,Skill Development / Learning,"Job Security, Promotions / Appraisal, Salary & Benefits"
IMPACT Infotech,3.5,623,--,34,,"Promotions / Appraisal, Salary & Benefits, Job Security"
DuPont,4.2,622,--,40,"Company Culture, Work Life Balance, Job Security",
Xceedance,3.7,622,4,93,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Ashirvad Pipes,4.1,622,52,44,"Skill Development / Learning, Salary & Benefits, Job Security",
Tafe Motors & Tractors,3.9,622,--,38,,"Promotions / Appraisal, Salary & Benefits"
Kaizen IT Services,4.5,621,--,23,"Work Life Balance, Company Culture, Work Satisfaction",
uFaber,2.6,621,7,45,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Tata Capital Housing Finance,4.1,621,--,24,"Skill Development / Learning, Job Security, Salary & Benefits",
ICON Plc,4.2,620,86,64,"Work Life Balance, Job Security, Company Culture",
Marsh McLennan,4.1,620,39,35,"Job Security, Company Culture, Work Life Balance",
Galfar,4.1,618,--,25,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Karvy Stock Broking,3.7,617,--,9,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Shyam Steel Industries,3.6,617,5,45,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Malabar Gold and Diamonds,4.2,617,61,67,"Job Security, Company Culture, Skill Development / Learning",
Forever Living Products,4.3,616,1,63,"Skill Development / Learning, Company Culture, Job Security",
Rallis India,4.3,616,--,38,"Job Security, Company Culture, Work Life Balance",
Target,4.2,616,114,105,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Brane Enterprises,2.2,616,--,122,,"Job Security, Company Culture, Work Satisfaction"
Navayuga Engineering Company,4.0,615,10,40,Job Security,
Progressive Infotech,3.5,615,23,35,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Integra Software Services,3.9,615,9,31,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Wonder Home Finance,4.7,614,4,43,"Company Culture, Skill Development / Learning, Job Security",
Veradigm,4.1,614,--,40,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Quess IT Staffing Solutions,3.3,614,1,34,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
CSM Technologies,4.4,614,4,26,"Job Security, Work Life Balance, Work Satisfaction",
eTeam,3.2,613,--,35,,"Promotions / Appraisal, Job Security, Company Culture"
KaaShiv InfoTech Company,4.9,613,--,14,"Work Satisfaction, Skill Development / Learning, Company Culture",
Lumen Technologies,4.0,612,20,49,"Work Life Balance, Job Security, Company Culture",
Rohan Builders,4.2,611,18,39,"Salary & Benefits, Job Security, Company Culture",
Investors Clinic,3.7,610,23,44,Skill Development / Learning,
ESL Steel,4.1,610,--,29,"Salary & Benefits, Skill Development / Learning, Work Life Balance",
First Advantage,3.8,609,12,21,Company Culture,Promotions / Appraisal
Vaco Binary Semantics,3.4,609,26,73,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
RAMTeCH Software Solutions,3.8,609,6,30,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Varthana,4.4,609,11,32,"Work Life Balance, Company Culture, Salary & Benefits",
Yokohama Off-Highway Tires,3.7,608,--,46,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Steag Energy Services,4.2,608,7,32,"Job Security, Work Life Balance, Skill Development / Learning",
Electronica Finance,4.1,608,27,40,"Salary & Benefits, Skill Development / Learning, Work Life Balance",
Carborundum Universal,3.9,607,--,30,Job Security,Promotions / Appraisal
Swaraj Tractors,4.2,606,--,35,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
ALTEN,3.7,606,25,81,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
CRB Tech Solution,4.1,605,--,12,"Skill Development / Learning, Salary & Benefits, Company Culture",
Primus Global Technologies,4.0,605,4,23,"Work Life Balance, Company Culture, Work Satisfaction",
Rico Auto Industries,3.8,605,7,40,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Engineers India,4.4,604,6,71,"Work Life Balance, Skill Development / Learning, Company Culture",
Sandvik Asia,4.3,604,--,30,"Company Culture, Salary & Benefits, Job Security",
Acme Cleantech Solutions,3.9,604,1,45,Salary & Benefits,"Job Security, Promotions / Appraisal"
Assystem,3.8,604,4,38,,Promotions / Appraisal
Eveready Industries,4.0,604,--,32,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Kurlon,4.3,603,--,35,"Work Life Balance, Company Culture, Work Satisfaction",
Mahindra Automotives,4.1,602,--,27,"Job Security, Skill Development / Learning",
Skipper,3.8,602,8,34,,Promotions / Appraisal
Innodata India Private Limited,3.5,602,14,68,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Epsilon,4.0,602,10,84,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
Jaya Hind Industries,3.7,601,--,48,,"Job Security, Promotions / Appraisal"
TCNS Clothing Company,4.0,600,--,20,"Skill Development / Learning, Job Security, Work Life Balance",
L&T Power,4.0,599,--,31,"Job Security, Skill Development / Learning",Promotions / Appraisal
Greenlam Industries,4.2,598,--,40,"Job Security, Company Culture, Skill Development / Learning",
Pratap Technocrats,3.9,597,--,19,Work Life Balance,Promotions / Appraisal
Radical Minds,2.9,596,--,52,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Jaro Education,2.5,595,11,121,,"Work Life Balance, Work Satisfaction, Job Security"
Denave,3.7,595,41,39,,"Promotions / Appraisal, Job Security"
Hitachi,4.1,594,15,74,"Company Culture, Work Life Balance, Job Security",
McDermott International,4.3,594,65,49,"Company Culture, Work Life Balance, Salary & Benefits",
Baxter International,4.0,594,3,37,"Work Life Balance, Salary & Benefits, Company Culture","Promotions / Appraisal, Job Security"
LifeCell International,3.4,594,12,41,,"Promotions / Appraisal, Job Security, Company Culture"
PUMA,4.3,594,16,48,"Job Security, Company Culture, Skill Development / Learning",
Hitachi Energy,4.2,593,317,75,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Zydus Healthcare,4.0,593,--,42,"Salary & Benefits, Skill Development / Learning, Company Culture",
MagicBricks,3.1,592,22,49,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Biba Apparels,3.9,592,--,38,Skill Development / Learning,Promotions / Appraisal
Maveric Systems,3.6,592,4,110,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
CIEL HR,4.1,592,32,46,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Vijay Sales,4.1,592,1,44,"Job Security, Salary & Benefits",
Wipro Infrastructure Engineering,3.8,591,11,53,,"Promotions / Appraisal, Salary & Benefits"
HIL,4.1,590,6,47,"Job Security, Company Culture, Skill Development / Learning",
Siemens Energy,4.2,590,70,64,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
DAV Public School,4.1,589,--,26,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",
Columbia Asia,4.5,589,--,19,"Company Culture, Skill Development / Learning, Job Security",
Shaktiman Tirth Agro Technology,4.2,589,--,40,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Kutumbh Care,3.9,588,--,32,"Work Satisfaction, Skill Development / Learning, Company Culture",Promotions / Appraisal
Ups Logistics,3.8,588,67,60,"Job Security, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning"
Sharda Motor Industries,3.8,587,--,37,Job Security,Promotions / Appraisal
Rodic Consultants,4.3,587,--,31,"Work Life Balance, Company Culture, Work Satisfaction",
MOURI Tech,3.8,587,85,58,,"Promotions / Appraisal, Job Security"
India Cements,3.8,586,--,45,"Job Security, Work Life Balance",Promotions / Appraisal
SKH Metals,4.0,586,12,49,"Skill Development / Learning, Company Culture, Salary & Benefits",
Cigniti Technologies,3.7,586,9,73,,Promotions / Appraisal
Carnival Cruise Lines,4.3,586,--,14,"Company Culture, Job Security, Skill Development / Learning",
Nippon Life India Asset Management,4.7,586,2,18,"Company Culture, Work Life Balance, Job Security",
Ramco Systems,3.5,586,11,43,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Advik Hi Tech,3.8,586,2,45,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
Neeyamo Enterprise Solutions,3.7,585,7,53,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Finolex Cables,3.8,585,18,38,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Ienergizer BPO Services,4.1,585,--,68,"Job Security, Company Culture, Salary & Benefits",
Orient Electric,3.8,583,29,38,,Promotions / Appraisal
Thermo Fisher Scientific,3.9,583,1,56,"Job Security, Work Life Balance",Promotions / Appraisal
Petpooja,4.3,583,52,40,"Company Culture, Skill Development / Learning, Work Life Balance",
Government of India,4.3,583,--,52,"Job Security, Work Life Balance, Work Satisfaction",
Ukb Electronics,4.1,581,1,41,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",
McKinsey & Company,4.0,580,1,250,"Salary & Benefits, Company Culture, Skill Development / Learning",Promotions / Appraisal
ICA Edu Skills,3.8,580,3,33,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Qualitest,3.7,580,12,71,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Luxoft,3.8,580,53,111,Work Life Balance,"Promotions / Appraisal, Job Security"
Careernet,3.7,580,31,32,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
IFFCO,4.1,580,--,36,"Job Security, Work Life Balance, Salary & Benefits",
Fleetguard Filters,4.3,580,21,41,"Company Culture, Salary & Benefits, Work Life Balance",
Hitachi Digital Services,3.7,580,30,59,Work Life Balance,Promotions / Appraisal
Lea Associates South Asia,4.3,580,--,22,"Work Life Balance, Company Culture, Work Satisfaction",
Teamware Solutions,4.3,579,35,37,"Work Life Balance, Company Culture, Work Satisfaction",
Bhanzu,3.9,579,27,52,"Salary & Benefits, Skill Development / Learning, Company Culture",
World Network Services,3.4,579,--,40,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
EMERSON PROCESS MANAGEMENT,4.0,579,--,46,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Magna International,4.0,579,42,38,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Central Industrial Security Force,4.5,579,--,16,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
ACTE,4.7,578,--,7,"Work Satisfaction, Job Security, Salary & Benefits",
Ugam Solution,3.6,578,9,48,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Sun Life Financial,4.2,578,33,42,"Job Security, Company Culture, Work Life Balance",
Zuventus Healthcare,3.9,577,89,36,,Promotions / Appraisal
Royal Migration Solutions,4.9,576,--,1,"Salary & Benefits, Company Culture, Job Security",
India Shelter Finance Corporation,4.0,574,--,26,"Skill Development / Learning, Job Security, Salary & Benefits",
Chennai Radha Engineering Works,4.0,574,7,22,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Microtek International,3.7,574,9,34,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Vastu Housing Finance,4.3,574,5,37,"Salary & Benefits, Company Culture, Skill Development / Learning",
Sunbeam Auto,3.7,574,--,38,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
GlaxoSmithKline Consumer Healthcare,4.4,573,--,26,"Work Life Balance, Company Culture, Skill Development / Learning",
Hindware Limited,3.9,573,14,43,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
Somany Ceramics,4.2,573,5,13,"Job Security, Work Life Balance, Company Culture",
VA Tech Wabag,3.9,572,5,45,Job Security,Promotions / Appraisal
Rane (Madras),4.0,571,29,30,"Skill Development / Learning, Job Security, Work Satisfaction",
Toyo Engineering,4.0,571,9,50,Job Security,
Integreon,3.3,571,11,40,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
ShareChat,3.7,570,3,77,Salary & Benefits,"Job Security, Promotions / Appraisal"
TO THE NEW,3.8,570,18,117,Company Culture,
IBS Software Services,3.7,570,24,98,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Lovely Professional University,3.4,569,9,53,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Amazon Sellers Services,4.1,569,--,101,"Salary & Benefits, Company Culture, Skill Development / Learning",
Isuzu Motors,4.1,567,--,33,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Bayer Crop Science Vegetable Seeds,4.4,567,--,26,"Skill Development / Learning, Company Culture, Work Life Balance",
EaseMyTrip.com,4.4,567,--,21,"Skill Development / Learning, Work Life Balance, Job Security",
Hapag-Lloyd,3.8,566,2,22,"Company Culture, Job Security",Promotions / Appraisal
Religare,3.7,566,22,27,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Flash Electronics,3.7,566,--,27,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
NSB Bpo Solutions,2.8,566,2,29,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Wipro Consumer Care & Lighting,3.9,566,9,54,Job Security,Promotions / Appraisal
Linde India,4.1,565,--,45,"Work Life Balance, Job Security, Skill Development / Learning",
JK Paper,3.9,565,4,47,Job Security,"Promotions / Appraisal, Salary & Benefits"
Hitachi Systems Micro Clinic,3.9,565,4,23,"Work Life Balance, Job Security",Promotions / Appraisal
Sutherland Healthcare Solutions,3.9,564,--,43,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
K Raheja Corp,4.3,564,17,39,"Work Life Balance, Company Culture, Job Security",
Transsion,4.2,564,2,29,"Job Security, Company Culture, Work Life Balance",
CMS Computers Limited (INDIA),3.8,564,12,33,,"Promotions / Appraisal, Salary & Benefits"
Tiger Analytics,3.6,564,42,196,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Navitasys India,4.0,564,--,39,"Salary & Benefits, Skill Development / Learning, Job Security",
Indo Autotech,3.8,564,1,32,,Job Security
Progressive Infovision,4.2,563,--,18,"Work Life Balance, Company Culture, Work Satisfaction",
Impact Guru,4.5,563,59,34,"Company Culture, Work Satisfaction, Skill Development / Learning",
Dhani Services,3.6,563,8,19,,"Job Security, Promotions / Appraisal, Company Culture"
Thriveni Earthmovers,4.0,562,1,43,"Skill Development / Learning, Job Security, Salary & Benefits",
Rentokil Pest Control,3.7,562,15,27,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Rackspace,3.9,561,37,69,"Work Life Balance, Company Culture, Salary & Benefits","Promotions / Appraisal, Job Security"
Redington,4.0,561,--,30,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Mott MacDonald,4.3,560,101,39,"Company Culture, Work Life Balance, Work Satisfaction",
Bses Rajdhani Power,3.7,559,--,34,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Guidehouse,3.9,559,67,57,"Salary & Benefits, Job Security",Promotions / Appraisal
National Payments Corporation of India,4.0,558,38,55,"Job Security, Skill Development / Learning, Work Satisfaction",
Ingram Micro,3.9,557,26,29,"Job Security, Company Culture",Promotions / Appraisal
TIAA Global Business Services,3.9,557,20,47,"Salary & Benefits, Work Life Balance, Job Security",Promotions / Appraisal
WSP,4.3,555,75,84,"Company Culture, Work Life Balance, Job Security",
National Informatics Centre,4.0,555,--,35,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security"
Micromax Informatics,3.6,554,--,21,,"Promotions / Appraisal, Company Culture, Job Security"
TDK India Private Limited,3.9,554,--,29,"Job Security, Skill Development / Learning",Promotions / Appraisal
Poorvika Mobiles,4.6,553,2,26,"Job Security, Company Culture, Skill Development / Learning",
Hilti,3.6,553,27,57,,"Promotions / Appraisal, Work Satisfaction"
Psp Projects,3.9,553,4,44,,Promotions / Appraisal
Ihg Group,4.0,552,41,35,"Company Culture, Job Security, Work Life Balance",
Tavant Technologies,3.9,552,5,68,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Apar Industries,4.1,551,3,36,"Salary & Benefits, Skill Development / Learning, Work Life Balance",
Csc E Governance Services,3.9,550,2,30,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Forvia Hella,4.1,550,25,32,"Work Life Balance, Job Security, Company Culture",
IDEMIA,4.1,550,18,42,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Mynd Solutions Private,3.6,549,18,26,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Principal Global Services,4.1,549,1,63,"Job Security, Work Life Balance, Company Culture",
Zee Entertainment Enterprises,3.5,549,3,46,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Wapcos,3.4,549,--,29,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Action Construction Equipment,3.8,547,--,55,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Ness Digital Engineering,3.4,547,18,60,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Experis IT,3.1,547,--,42,,"Promotions / Appraisal, Skill Development / Learning, Job Security"
Clarivate,3.9,547,32,69,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Skill Development / Learning"
Vijaya Diagnostic Centre,3.9,547,21,30,"Skill Development / Learning, Company Culture",
Amadeus,4.0,547,22,101,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Titan Eye Plus,4.3,545,--,27,"Skill Development / Learning, Company Culture, Work Satisfaction",
Sona Comstar,4.2,545,--,47,"Skill Development / Learning, Company Culture, Job Security",
Genpact Headstrong Capital Markets,3.8,545,--,94,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Caparo Engineering India,4.0,544,--,24,,
M3M India,4.1,544,--,43,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
PeopleStrong,3.5,544,32,47,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Fedbank Financial Services,4.1,544,30,27,"Salary & Benefits, Company Culture, Work Life Balance",
MAS Financial Services,3.6,544,26,32,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Crowne Plaza,4.1,543,--,22,"Skill Development / Learning, Company Culture, Work Satisfaction",
The Lalit,3.6,543,2,18,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Creambell,4.1,543,2,25,"Salary & Benefits, Work Life Balance",
Steel Authority Of India,4.1,542,--,35,"Job Security, Work Life Balance, Work Satisfaction",
Syneos Health,3.9,542,29,43,"Work Life Balance, Company Culture",Promotions / Appraisal
Raychem RPG,3.9,541,--,22,Skill Development / Learning,Promotions / Appraisal
Deepak Nitrite,4.0,541,22,43,"Job Security, Work Life Balance",Promotions / Appraisal
Echobooom Management & Entrepreneurial Solutions,3.8,541,51,74,"Skill Development / Learning, Company Culture, Promotions / Appraisal",
ExcelR Solutions,3.7,541,3,18,,Promotions / Appraisal
Epicenter Technologies,3.6,540,6,36,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Technip Energies,4.0,540,67,70,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Bridge & Roof Co,3.5,540,--,23,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Adidas,4.0,540,77,71,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal
Expleo Solutions,3.9,540,--,52,Work Life Balance,Promotions / Appraisal
Ag Industries,4.0,539,--,38,"Work Life Balance, Job Security, Company Culture",
Metso Outotec,4.2,539,4,50,"Work Life Balance, Company Culture, Job Security",
Bikanervala,4.0,538,--,18,,Promotions / Appraisal
Credence Resource Management,3.5,537,39,28,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Molex,3.9,537,--,50,,Promotions / Appraisal
BDO India LLP,3.5,537,102,67,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Nexdigm,3.7,536,29,44,Job Security,"Promotions / Appraisal, Salary & Benefits"
Indostar Capital Finance,4.5,536,3,24,"Company Culture, Work Life Balance, Skill Development / Learning",
Koenig Solutions,3.2,536,17,27,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Lambda Therapeutic Research,4.6,536,26,15,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",
Welspun World,3.7,535,27,41,,Promotions / Appraisal
Testbook.com,3.6,535,60,88,,"Job Security, Promotions / Appraisal, Work Satisfaction"
GAMMON INDIA,3.9,534,--,29,"Job Security, Company Culture",
Micro Turners,3.8,534,4,27,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Wipro Digital,3.5,533,--,63,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Alshaya Group,4.0,533,2,41,"Work Life Balance, Job Security",Promotions / Appraisal
