company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Tata Motors Finance,4.1,1.6k,12,62,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
Adani Wilmar,4.2,1.6k,14,97,"Job Security, Skill Development / Learning, Company Culture",
Renault Nissan Technology & Business Centre India,3.8,1.6k,31,118,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Future Generali India Life Insurance,3.7,1.6k,103,88,,Promotions / Appraisal
Apollo Pharmacy,3.9,1.6k,16,112,"Job Security, Skill Development / Learning",Promotions / Appraisal
Sify Technologies,3.9,1.6k,21,116,"Skill Development / Learning, Job Security",Promotions / Appraisal
Xoriant,3.9,1.5k,33,146,"Work Life Balance, Company Culture, Skill Development / Learning",
TCE,3.8,1.5k,14,235,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Sterling & Wilson,4.1,1.5k,4,61,"Work Life Balance, Company Culture, Skill Development / Learning",
Allstate,3.9,1.5k,31,120,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
JK Tyres,3.7,1.5k,1,88,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Gabriel India,4.2,1.5k,--,91,"Job Security, Skill Development / Learning, Company Culture",
SBI General Insurance,3.7,1.5k,37,90,,"Promotions / Appraisal, Work Satisfaction"
CitiusTech,3.4,1.5k,93,247,,"Promotions / Appraisal, Job Security, Salary & Benefits"
AECOM,4.3,1.5k,302,107,"Work Life Balance, Company Culture, Work Satisfaction",
Citibank,3.9,1.5k,--,182,"Salary & Benefits, Job Security, Company Culture",
Matrimony.com,4.3,1.5k,28,79,"Company Culture, Job Security, Work Life Balance",
IDBI Bank,3.6,1.5k,--,62,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
SBI Securities,3.8,1.5k,86,134,,Promotions / Appraisal
YASH Technologies,3.8,1.5k,381,135,"Work Life Balance, Company Culture",Promotions / Appraisal
Power Mech Projects,3.9,1.5k,1,89,Job Security,Promotions / Appraisal
Lucas-TVS,4.0,1.5k,2,68,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
Crisil,3.6,1.5k,533,178,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
L&T Energy Hydrocarbon,3.9,1.5k,--,85,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance"
Tata Advanced Systems,3.8,1.5k,14,119,Job Security,"Promotions / Appraisal, Salary & Benefits"
Aditya Birla Capital,4.0,1.5k,3,139,"Job Security, Work Life Balance, Company Culture",
Spark Minda,3.9,1.5k,6,110,,
Parle Products,4.0,1.5k,6,81,Salary & Benefits,
Hindustan Aeronautics,4.4,1.5k,--,69,"Skill Development / Learning, Work Life Balance, Job Security",
Novartis,4.1,1.5k,234,134,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
